"AveragePrice","TotalVolume","Type","Year","Region","Month"
1.33,11.0704221323469,"conventional",2015,"Albany",12
1.35,10.9129585612171,"conventional",2015,"Albany",12
0.93,11.6803551867652,"conventional",2015,"Albany",12
1.08,11.2771797134534,"conventional",2015,"Albany",12
1.28,10.8404746298684,"conventional",2015,"Albany",11
1.26,10.9328530089005,"conventional",2015,"Albany",11
0.99,11.3321198785124,"conventional",2015,"Albany",11
0.98,11.6030799223037,"conventional",2015,"Albany",11
1.02,11.5110979961658,"conventional",2015,"Albany",11
1.07,11.2164684719332,"conventional",2015,"Albany",10
1.12,11.3486336707584,"conventional",2015,"Albany",10
1.28,11.074345616259,"conventional",2015,"Albany",10
1.31,11.0188438741974,"conventional",2015,"Albany",10
0.99,11.5788011229917,"conventional",2015,"Albany",9
1.33,11.1528878736646,"conventional",2015,"Albany",9
1.28,11.2400304563423,"conventional",2015,"Albany",9
1.11,11.5046811740031,"conventional",2015,"Albany",9
1.07,11.5683586581391,"conventional",2015,"Albany",8
1.34,11.289758038371,"conventional",2015,"Albany",8
1.33,11.2904039701388,"conventional",2015,"Albany",8
1.12,11.618608298678,"conventional",2015,"Albany",8
1.45,11.2270963414145,"conventional",2015,"Albany",8
1.11,11.5783676401894,"conventional",2015,"Albany",7
1.26,11.4785720870985,"conventional",2015,"Albany",7
1.05,11.7285311578781,"conventional",2015,"Albany",7
1.35,11.6014684351387,"conventional",2015,"Albany",7
1.37,11.4024497779904,"conventional",2015,"Albany",6
1.27,11.5603374417804,"conventional",2015,"Albany",6
1.32,11.4035268069793,"conventional",2015,"Albany",6
1.07,11.7178973877863,"conventional",2015,"Albany",6
1.23,11.4629956616587,"conventional",2015,"Albany",5
1.19,11.5275865639,"conventional",2015,"Albany",5
1.43,11.6069936920523,"conventional",2015,"Albany",5
1.26,11.6988564167208,"conventional",2015,"Albany",5
1.2,10.9887388121938,"conventional",2015,"Albany",5
1.22,10.8115739204694,"conventional",2015,"Albany",4
1.19,10.80101800568,"conventional",2015,"Albany",4
1.13,10.7866410612508,"conventional",2015,"Albany",4
1.16,10.7657049186767,"conventional",2015,"Albany",4
1.02,11.1243923973753,"conventional",2015,"Albany",3
1.12,10.7440380577768,"conventional",2015,"Albany",3
1.11,10.6701590885501,"conventional",2015,"Albany",3
1.07,10.6093870752405,"conventional",2015,"Albany",3
0.99,10.925969774713,"conventional",2015,"Albany",3
1.07,10.7294388300552,"conventional",2015,"Albany",2
1.06,10.6352211104856,"conventional",2015,"Albany",2
0.99,10.8446654146662,"conventional",2015,"Albany",2
0.99,11.1687379419222,"conventional",2015,"Albany",2
1.06,10.7178230752205,"conventional",2015,"Albany",1
1.17,10.7036327073865,"conventional",2015,"Albany",1
1.24,10.6262197485863,"conventional",2015,"Albany",1
1.22,10.618378612198,"conventional",2015,"Albany",1
0.99,12.8638684912279,"conventional",2015,"Atlanta",12
1.08,12.7110316844898,"conventional",2015,"Atlanta",12
0.96,12.9427065949434,"conventional",2015,"Atlanta",12
1.07,12.7872900578422,"conventional",2015,"Atlanta",12
0.99,12.716758629547,"conventional",2015,"Atlanta",11
1,12.7838666889627,"conventional",2015,"Atlanta",11
1.13,12.7363087020471,"conventional",2015,"Atlanta",11
1.12,12.7190387767746,"conventional",2015,"Atlanta",11
0.99,12.9458522831305,"conventional",2015,"Atlanta",11
1.09,12.7896395307833,"conventional",2015,"Atlanta",10
1.09,12.763052046965,"conventional",2015,"Atlanta",10
0.95,12.9805243373546,"conventional",2015,"Atlanta",10
0.96,12.9448819124453,"conventional",2015,"Atlanta",10
1.07,12.8221421371509,"conventional",2015,"Atlanta",9
0.93,13.1547116834183,"conventional",2015,"Atlanta",9
1.07,12.9414125127825,"conventional",2015,"Atlanta",9
0.97,13.0650361893228,"conventional",2015,"Atlanta",9
1.15,12.8557347052615,"conventional",2015,"Atlanta",8
1.12,12.8454505479304,"conventional",2015,"Atlanta",8
1.09,13.0502652825549,"conventional",2015,"Atlanta",8
1.01,13.129930117285,"conventional",2015,"Atlanta",8
1.15,12.913873041422,"conventional",2015,"Atlanta",8
1.08,12.9885662351858,"conventional",2015,"Atlanta",7
0.97,13.2307136014269,"conventional",2015,"Atlanta",7
1.14,12.9170864629185,"conventional",2015,"Atlanta",7
1.01,13.2400901092535,"conventional",2015,"Atlanta",7
1.13,12.9835993699265,"conventional",2015,"Atlanta",6
0.99,13.226308459809,"conventional",2015,"Atlanta",6
1.1,13.0515347791444,"conventional",2015,"Atlanta",6
0.99,13.2195174017366,"conventional",2015,"Atlanta",6
1.1,13.0274107336764,"conventional",2015,"Atlanta",5
0.96,13.3426517204881,"conventional",2015,"Atlanta",5
1.11,13.0197916361644,"conventional",2015,"Atlanta",5
1.1,13.0817021616251,"conventional",2015,"Atlanta",5
1,13.3601497573153,"conventional",2015,"Atlanta",5
1.12,13.0138930535237,"conventional",2015,"Atlanta",4
1.12,12.9737991906924,"conventional",2015,"Atlanta",4
0.99,13.0194618138221,"conventional",2015,"Atlanta",4
1.04,12.8561700654823,"conventional",2015,"Atlanta",4
1.11,12.8096455494954,"conventional",2015,"Atlanta",3
1,13.080700654571,"conventional",2015,"Atlanta",3
1.12,12.8981498038204,"conventional",2015,"Atlanta",3
1.1,12.9499897435399,"conventional",2015,"Atlanta",3
0.99,13.14713099206,"conventional",2015,"Atlanta",3
1.1,12.974592940471,"conventional",2015,"Atlanta",2
1.06,12.9654692577852,"conventional",2015,"Atlanta",2
1.03,12.98054611731,"conventional",2015,"Atlanta",2
0.96,13.3641753758206,"conventional",2015,"Atlanta",2
1.1,13.015532559159,"conventional",2015,"Atlanta",1
1.11,12.975015813815,"conventional",2015,"Atlanta",1
1.11,12.8930727716037,"conventional",2015,"Atlanta",1
1,12.9831645034764,"conventional",2015,"Atlanta",1
1.17,13.2993798872877,"conventional",2015,"BaltimoreWashington",12
1.11,13.3734152823401,"conventional",2015,"BaltimoreWashington",12
1.15,13.3366927255079,"conventional",2015,"BaltimoreWashington",12
1.04,13.3834148574704,"conventional",2015,"BaltimoreWashington",12
1.16,13.2100189718413,"conventional",2015,"BaltimoreWashington",11
1.12,13.2569393742398,"conventional",2015,"BaltimoreWashington",11
1.04,13.4846933733527,"conventional",2015,"BaltimoreWashington",11
1.05,13.6303528591189,"conventional",2015,"BaltimoreWashington",11
1.12,13.5174099606736,"conventional",2015,"BaltimoreWashington",11
1.19,13.3952840799417,"conventional",2015,"BaltimoreWashington",10
0.99,13.8211046617479,"conventional",2015,"BaltimoreWashington",10
1.24,13.3901990158004,"conventional",2015,"BaltimoreWashington",10
1.28,13.3961240553562,"conventional",2015,"BaltimoreWashington",10
1.19,13.4535183739556,"conventional",2015,"BaltimoreWashington",9
1.17,13.4719980647933,"conventional",2015,"BaltimoreWashington",9
1.09,13.7375485948729,"conventional",2015,"BaltimoreWashington",9
1.18,13.6214759018734,"conventional",2015,"BaltimoreWashington",9
1.24,13.5072546753312,"conventional",2015,"BaltimoreWashington",8
1.16,13.5720895006168,"conventional",2015,"BaltimoreWashington",8
1.14,13.6908094575855,"conventional",2015,"BaltimoreWashington",8
1.16,13.6189230648735,"conventional",2015,"BaltimoreWashington",8
1.17,13.5931282543275,"conventional",2015,"BaltimoreWashington",8
1.2,13.5579465100009,"conventional",2015,"BaltimoreWashington",7
1.18,13.592617400299,"conventional",2015,"BaltimoreWashington",7
1.1,13.6540940558642,"conventional",2015,"BaltimoreWashington",7
1.16,13.7060357792101,"conventional",2015,"BaltimoreWashington",7
1.15,13.6673209886936,"conventional",2015,"BaltimoreWashington",6
1.16,13.6679923529021,"conventional",2015,"BaltimoreWashington",6
1.09,13.7695219268339,"conventional",2015,"BaltimoreWashington",6
1.26,13.5852370110349,"conventional",2015,"BaltimoreWashington",6
1.19,13.7633569567768,"conventional",2015,"BaltimoreWashington",5
1.18,13.7197348828338,"conventional",2015,"BaltimoreWashington",5
1.27,13.5808760629121,"conventional",2015,"BaltimoreWashington",5
1.26,13.6591044599258,"conventional",2015,"BaltimoreWashington",5
1.17,13.7067866702844,"conventional",2015,"BaltimoreWashington",5
1.29,13.5249538109253,"conventional",2015,"BaltimoreWashington",4
1.28,13.5448411067117,"conventional",2015,"BaltimoreWashington",4
1.15,13.6383384638998,"conventional",2015,"BaltimoreWashington",4
1.29,13.4416479632674,"conventional",2015,"BaltimoreWashington",4
1.25,13.4055603869815,"conventional",2015,"BaltimoreWashington",3
1.1,13.6034345473503,"conventional",2015,"BaltimoreWashington",3
1.24,13.4498008229379,"conventional",2015,"BaltimoreWashington",3
1.26,13.3965830875339,"conventional",2015,"BaltimoreWashington",3
1.16,13.5543032359807,"conventional",2015,"BaltimoreWashington",3
1.11,13.5276308526511,"conventional",2015,"BaltimoreWashington",2
1.25,13.3650355420057,"conventional",2015,"BaltimoreWashington",2
1.09,13.647017595886,"conventional",2015,"BaltimoreWashington",2
1.06,13.8229078901135,"conventional",2015,"BaltimoreWashington",2
1.2,13.4486993581751,"conventional",2015,"BaltimoreWashington",1
1.23,13.3965761548047,"conventional",2015,"BaltimoreWashington",1
1.17,13.4153880626502,"conventional",2015,"BaltimoreWashington",1
1.08,13.5772927843069,"conventional",2015,"BaltimoreWashington",1
0.97,11.0495508551439,"conventional",2015,"Boise",12
1.03,10.9597149941214,"conventional",2015,"Boise",12
0.99,10.976218626673,"conventional",2015,"Boise",12
0.71,11.4647991504039,"conventional",2015,"Boise",12
1.06,10.8011076681478,"conventional",2015,"Boise",11
1.09,10.8758103530505,"conventional",2015,"Boise",11
1.01,11.1368378805377,"conventional",2015,"Boise",11
1.11,10.9304926625351,"conventional",2015,"Boise",11
1.14,10.8891459389906,"conventional",2015,"Boise",11
1.11,11.0001053535354,"conventional",2015,"Boise",10
1.16,10.9003834185078,"conventional",2015,"Boise",10
0.94,11.3010950530873,"conventional",2015,"Boise",10
1.12,10.9937707504309,"conventional",2015,"Boise",10
0.99,11.0696619118058,"conventional",2015,"Boise",9
1.03,11.2112648124862,"conventional",2015,"Boise",9
1.08,11.0699896156144,"conventional",2015,"Boise",9
1.16,11.0739647400251,"conventional",2015,"Boise",9
1.19,11.0038621208103,"conventional",2015,"Boise",8
1.05,11.1673283631053,"conventional",2015,"Boise",8
1.12,11.066757261523,"conventional",2015,"Boise",8
1.1,11.0234205966063,"conventional",2015,"Boise",8
1.07,11.123873570108,"conventional",2015,"Boise",8
1.07,11.1247903709446,"conventional",2015,"Boise",7
1.09,11.0660763294309,"conventional",2015,"Boise",7
1.05,11.2210174089485,"conventional",2015,"Boise",7
1.15,11.3509998888153,"conventional",2015,"Boise",7
1.04,11.2290549194122,"conventional",2015,"Boise",6
1.06,11.3071682662672,"conventional",2015,"Boise",6
0.99,11.3806927715279,"conventional",2015,"Boise",6
1.12,11.2992035156478,"conventional",2015,"Boise",6
0.97,11.2475967508606,"conventional",2015,"Boise",5
1.03,11.3291921521175,"conventional",2015,"Boise",5
0.96,11.2643811535133,"conventional",2015,"Boise",5
1.06,11.4699608642077,"conventional",2015,"Boise",5
1,11.3559556985832,"conventional",2015,"Boise",5
0.96,11.3864226851033,"conventional",2015,"Boise",4
0.99,11.4042367503308,"conventional",2015,"Boise",4
1.19,11.101225460227,"conventional",2015,"Boise",4
1.09,11.247793353546,"conventional",2015,"Boise",4
0.98,11.2192250519165,"conventional",2015,"Boise",3
1.17,11.0255739881896,"conventional",2015,"Boise",3
1,11.0962620896601,"conventional",2015,"Boise",3
1.14,11.0876082003393,"conventional",2015,"Boise",3
1.06,11.2259414155104,"conventional",2015,"Boise",3
0.99,11.2495079460249,"conventional",2015,"Boise",2
1.14,11.0223595535636,"conventional",2015,"Boise",2
1.07,11.1559183230027,"conventional",2015,"Boise",2
0.91,11.6403000432506,"conventional",2015,"Boise",2
1.03,11.098548917674,"conventional",2015,"Boise",1
1.08,11.0489276049344,"conventional",2015,"Boise",1
1.18,10.9571289742251,"conventional",2015,"Boise",1
1.01,11.2902857866907,"conventional",2015,"Boise",1
1.13,13.0188287271726,"conventional",2015,"Boston",12
1.07,13.1017705531848,"conventional",2015,"Boston",12
1.01,13.2175858442711,"conventional",2015,"Boston",12
1.02,13.0994740234653,"conventional",2015,"Boston",12
1.19,12.7673037281744,"conventional",2015,"Boston",11
1.07,13.0535833189854,"conventional",2015,"Boston",11
1.05,13.1494822734553,"conventional",2015,"Boston",11
1.04,13.3719783602233,"conventional",2015,"Boston",11
1.06,13.2232992306649,"conventional",2015,"Boston",11
1.02,13.1886294117813,"conventional",2015,"Boston",10
0.94,13.4943437986607,"conventional",2015,"Boston",10
1.14,13.0933725346433,"conventional",2015,"Boston",10
1.07,13.192794664542,"conventional",2015,"Boston",10
1.07,13.2236791962933,"conventional",2015,"Boston",9
1.15,13.1196521653883,"conventional",2015,"Boston",9
1.03,13.3934417938907,"conventional",2015,"Boston",9
1.11,13.2669497331254,"conventional",2015,"Boston",9
1.13,13.1743310973159,"conventional",2015,"Boston",8
1.07,13.286991524937,"conventional",2015,"Boston",8
1.15,13.2459978113014,"conventional",2015,"Boston",8
1.07,13.4452048356267,"conventional",2015,"Boston",8
1.17,13.2568951444874,"conventional",2015,"Boston",8
1.28,13.1228426425384,"conventional",2015,"Boston",7
1.18,13.2999640081422,"conventional",2015,"Boston",7
1.14,13.360626828749,"conventional",2015,"Boston",7
1.27,13.2757979094304,"conventional",2015,"Boston",7
1.25,13.2365861628846,"conventional",2015,"Boston",6
1.24,13.2058045989665,"conventional",2015,"Boston",6
1.08,13.4362283855095,"conventional",2015,"Boston",6
1.25,13.2402332715106,"conventional",2015,"Boston",6
1.26,13.2448764532066,"conventional",2015,"Boston",5
1.14,13.3590594450924,"conventional",2015,"Boston",5
1.26,13.1890767942407,"conventional",2015,"Boston",5
1.14,13.3464091455985,"conventional",2015,"Boston",5
1.17,13.2219823338112,"conventional",2015,"Boston",5
1.28,13.0517635797886,"conventional",2015,"Boston",4
1.15,13.1315725029396,"conventional",2015,"Boston",4
1.26,12.9202255529012,"conventional",2015,"Boston",4
1.27,13.0166116963624,"conventional",2015,"Boston",4
1.19,13.0250531488352,"conventional",2015,"Boston",3
1.18,13.0240429553637,"conventional",2015,"Boston",3
1.25,12.9426536707583,"conventional",2015,"Boston",3
1.17,12.9200267528303,"conventional",2015,"Boston",3
1.11,13.0934331035974,"conventional",2015,"Boston",3
1.23,12.7811068985254,"conventional",2015,"Boston",2
1.2,12.8989447632638,"conventional",2015,"Boston",2
1.04,13.3212000393274,"conventional",2015,"Boston",2
1.22,13.1022180970093,"conventional",2015,"Boston",2
1.17,12.9223247399292,"conventional",2015,"Boston",1
1.23,12.902557574605,"conventional",2015,"Boston",1
1.1,12.989466960283,"conventional",2015,"Boston",1
1.02,13.1057135348551,"conventional",2015,"Boston",1
1.35,11.4745907911681,"conventional",2015,"BuffaloRochester",12
1.37,11.4172238185528,"conventional",2015,"BuffaloRochester",12
1.35,11.4976009419813,"conventional",2015,"BuffaloRochester",12
1.23,11.5941719401326,"conventional",2015,"BuffaloRochester",12
1.39,11.2895211296548,"conventional",2015,"BuffaloRochester",11
1.4,11.410320150258,"conventional",2015,"BuffaloRochester",11
1.36,11.5100184436753,"conventional",2015,"BuffaloRochester",11
1.3,11.6176903532773,"conventional",2015,"BuffaloRochester",11
1.23,11.6830657132968,"conventional",2015,"BuffaloRochester",11
1.36,11.5085212807732,"conventional",2015,"BuffaloRochester",10
1.29,11.5720407129608,"conventional",2015,"BuffaloRochester",10
1.3,11.6005685090828,"conventional",2015,"BuffaloRochester",10
1.33,11.5019300361924,"conventional",2015,"BuffaloRochester",10
1.31,11.4158827051155,"conventional",2015,"BuffaloRochester",9
1.54,11.0125528509737,"conventional",2015,"BuffaloRochester",9
1.59,11.1988884657157,"conventional",2015,"BuffaloRochester",9
1.56,11.2404023133032,"conventional",2015,"BuffaloRochester",9
1.38,11.3354412294496,"conventional",2015,"BuffaloRochester",8
1.49,11.1412716094609,"conventional",2015,"BuffaloRochester",8
1.5,11.1534478830223,"conventional",2015,"BuffaloRochester",8
1.47,11.3124741121174,"conventional",2015,"BuffaloRochester",8
1.47,11.266627405077,"conventional",2015,"BuffaloRochester",8
1.39,11.4277059725053,"conventional",2015,"BuffaloRochester",7
1.36,11.7664209020104,"conventional",2015,"BuffaloRochester",7
1.45,11.754753057412,"conventional",2015,"BuffaloRochester",7
1.47,11.8523924984217,"conventional",2015,"BuffaloRochester",7
1.36,11.8295790313094,"conventional",2015,"BuffaloRochester",6
1.5,11.5959915361325,"conventional",2015,"BuffaloRochester",6
1.34,11.9142673509357,"conventional",2015,"BuffaloRochester",6
1.38,11.7822967382966,"conventional",2015,"BuffaloRochester",6
1.4,11.7817845920807,"conventional",2015,"BuffaloRochester",5
1.43,11.7113550054651,"conventional",2015,"BuffaloRochester",5
1.35,11.8281465585598,"conventional",2015,"BuffaloRochester",5
1.33,12.0468024332315,"conventional",2015,"BuffaloRochester",5
1.42,11.8261129171886,"conventional",2015,"BuffaloRochester",5
1.41,11.8275193929871,"conventional",2015,"BuffaloRochester",4
1.42,11.8466691252677,"conventional",2015,"BuffaloRochester",4
1.42,11.6799517261694,"conventional",2015,"BuffaloRochester",4
1.44,11.7292588395826,"conventional",2015,"BuffaloRochester",4
1.39,11.6943854006753,"conventional",2015,"BuffaloRochester",3
1.4,11.6944880671643,"conventional",2015,"BuffaloRochester",3
1.47,11.5465450402276,"conventional",2015,"BuffaloRochester",3
1.35,11.7418996649673,"conventional",2015,"BuffaloRochester",3
1.43,11.629551031017,"conventional",2015,"BuffaloRochester",3
1.41,11.6041629991641,"conventional",2015,"BuffaloRochester",2
1.44,11.5150545967597,"conventional",2015,"BuffaloRochester",2
1.36,11.7963442123529,"conventional",2015,"BuffaloRochester",2
1.33,11.9442295202461,"conventional",2015,"BuffaloRochester",2
1.5,11.644470611313,"conventional",2015,"BuffaloRochester",1
1.52,11.5810166367148,"conventional",2015,"BuffaloRochester",1
1.54,11.5733366051776,"conventional",2015,"BuffaloRochester",1
1.4,11.6635795244538,"conventional",2015,"BuffaloRochester",1
0.9,15.4329903416966,"conventional",2015,"California",12
0.94,15.3621669562862,"conventional",2015,"California",12
0.87,15.4755199613485,"conventional",2015,"California",12
0.78,15.5691427095309,"conventional",2015,"California",12
0.91,15.3362738826766,"conventional",2015,"California",11
0.92,15.3850186111404,"conventional",2015,"California",11
0.83,15.5656137767913,"conventional",2015,"California",11
0.98,15.4543110417374,"conventional",2015,"California",11
0.95,15.578601991234,"conventional",2015,"California",11
1.12,15.3399280867926,"conventional",2015,"California",10
1.07,15.424756009879,"conventional",2015,"California",10
1.08,15.4375320401438,"conventional",2015,"California",10
1.02,15.4136422533268,"conventional",2015,"California",10
1.04,15.4673929489393,"conventional",2015,"California",9
1.14,15.3757156055515,"conventional",2015,"California",9
